,Scheme,Likelihood to Speak Positively,Water Ordering,Temporary Transfers,Billing,Land Leases,Understand Business,Mobile,SPPs,Helpful Service,Responsiveness,Cluster
0,Lower Mary River,1,0,1,1,1,1,0,0,1,1,0
1,Mareeba Dimbulah,4,3,4,4,0,0,4,0,0,3,0
2,Upper Condamine,3,3,4,3,4,3,4,3,3,4,2
3,Mareeba Dimbulah,5,5,5,5,5,5,5,5,5,5,3
4,St George,5,5,5,4,4,5,4,4,5,4,1
5,Callide Valley,4,0,0,4,0,0,4,0,0,4,0
6,Upper Burnett,2,0,2,3,0,1,1,1,1,2,0
7,Macintyre Brook,4,3,0,3,0,0,3,3,3,3,2
8,St George,5,5,0,0,0,0,4,0,4,4,0
9,Three Moon Creek,3,0,0,3,0,3,4,3,3,3,2
10,Mareeba Dimbulah,4,4,0,4,0,3,4,0,5,4,0
11,Bundaberg,4,0,4,4,0,0,4,4,4,4,0
12,Burdekin Haughton,3,5,0,3,3,5,0,5,5,5,3
13,Lower Mary River,4,0,0,4,0,3,4,0,4,4,0
14,Bundaberg,4,4,4,4,4,4,4,4,4,4,1
15,Burdekin Haughton,3,4,3,4,3,3,3,3,3,3,2
16,Mareeba Dimbulah,3,2,4,4,0,3,4,3,3,4,2
17,Mareeba Dimbulah,3,4,4,4,3,3,4,4,4,4,1
18,Dawson Valley,4,4,4,4,4,4,0,0,4,4,1
19,Dawson Valley,4,4,4,3,3,3,3,3,4,4,1
20,Lower Fitzroy,4,4,5,5,4,4,5,0,4,4,1
21,Bundaberg,2,3,0,3,0,3,3,3,3,2,2
22,Bundaberg,2,0,3,0,0,0,3,0,0,3,0
23,Proserpine River,3,4,4,4,0,4,4,0,3,1,1
24,Boyne River and Tarong,4,4,4,4,4,4,4,4,4,4,1
25,Burdekin Haughton,3,2,3,3,3,1,3,2,2,4,2
26,Mareeba Dimbulah,4,4,5,5,0,4,5,0,4,4,1
27,St George,3,3,3,0,0,3,0,4,2,2,2
28,Mareeba Dimbulah,3,3,3,3,0,3,3,3,3,3,2
29,Bundaberg,4,3,3,3,3,3,4,3,3,4,2
30,Bundaberg,4,4,5,4,4,4,4,4,4,4,1
31,Bundaberg,4,5,0,4,0,3,5,4,4,4,0
32,Border Rivers,3,5,0,4,4,4,5,0,4,4,0
33,Mareeba Dimbulah,4,5,5,5,5,5,5,5,5,5,3
34,Three Moon Creek,3,0,0,2,0,2,4,3,3,2,0
35,Burdekin Haughton,4,3,0,4,0,4,4,4,4,4,0
36,Mareeba Dimbulah,3,0,0,5,5,3,5,3,3,3,2
37,Callide Valley,3,4,4,4,0,4,4,4,4,3,1
38,Bundaberg,4,0,0,3,0,3,4,3,3,3,0
39,Mareeba Dimbulah,3,0,3,3,0,0,4,0,3,4,0
40,Burdekin Haughton,2,2,4,4,3,1,4,3,2,3,1
41,Mareeba Dimbulah,3,3,0,3,0,2,0,0,3,3,2
42,Burdekin Haughton,3,0,0,5,0,3,0,0,3,3,2
43,Burdekin Haughton,3,3,0,4,4,3,3,3,3,3,2
44,Boyne River and Tarong,4,0,0,4,4,4,4,4,4,4,1
45,Callide Valley,5,4,0,5,0,4,4,3,4,4,0
46,Bundaberg,4,0,0,3,0,0,3,0,3,3,0
47,Bundaberg,3,0,3,4,0,3,3,3,3,3,2
48,Lower Mary River,5,5,5,4,4,4,5,4,4,4,1
49,Three Moon Creek,4,0,3,4,0,3,4,0,4,4,0
50,Mareeba Dimbulah,4,0,4,0,0,0,4,2,3,2,0
51,Nogoa Mackenzie,4,4,4,4,4,4,4,4,4,4,1
52,Border Rivers,4,5,0,5,0,4,0,0,5,5,0
53,Eton,4,0,0,3,0,0,5,4,4,5,0
54,Barker Barambah,3,4,4,4,4,3,4,4,4,4,1
55,Burdekin Haughton,5,5,0,5,0,5,5,5,5,5,3
56,Mareeba Dimbulah,3,0,0,4,0,1,3,0,3,2,0
57,Mareeba Dimbulah,3,0,0,0,0,0,0,0,0,3,0
58,Eton,4,4,4,4,4,4,5,4,5,4,1
59,Boyne River and Tarong,3,4,4,4,4,4,4,4,4,3,1
60,Dawson Valley,4,3,3,4,4,3,4,4,4,3,1
61,Boyne River and Tarong,4,0,0,4,3,3,4,4,4,4,0
62,Mareeba Dimbulah,3,3,3,3,3,3,3,3,3,3,2
63,Burdekin Haughton,3,4,4,4,0,3,4,4,3,3,1
64,Macintyre Brook,3,0,0,4,0,0,5,0,0,3,0
65,Mareeba Dimbulah,4,4,4,4,4,3,4,4,4,4,1
66,Dawson Valley,3,3,3,3,3,3,3,3,3,4,2
67,Boyne River and Tarong,4,3,0,4,0,0,4,4,4,4,0
68,Bundaberg,4,3,3,3,0,3,4,3,3,3,2
69,Callide Valley,3,0,1,2,3,2,4,0,3,3,0
70,Mareeba Dimbulah,4,0,0,4,0,0,4,0,4,4,0
71,Nogoa Mackenzie,4,4,4,4,3,3,4,4,4,4,1
72,Bundaberg,5,5,5,5,4,5,5,4,5,4,3
73,Bundaberg,4,4,0,4,0,0,4,0,5,5,0
74,Mareeba Dimbulah,2,4,4,4,0,0,4,4,3,3,1
75,Boyne River and Tarong,4,3,4,4,3,3,4,3,5,4,1
76,Nogoa Mackenzie,3,0,0,3,0,0,2,0,2,3,0
77,Mareeba Dimbulah,4,4,4,4,0,0,4,4,4,4,1
78,Bundaberg,3,5,0,4,0,0,4,4,4,4,0
79,Mareeba Dimbulah,3,3,3,3,4,3,3,3,4,3,2
80,Burdekin Haughton,3,3,0,4,3,2,3,0,3,3,2
81,Burdekin Haughton,3,3,3,3,3,3,3,3,3,3,2
82,Callide Valley,4,0,4,4,0,4,0,0,4,4,0
83,Burdekin Haughton,4,4,4,4,4,4,4,4,4,3,1
84,Barker Barambah,3,0,3,3,3,3,4,4,3,3,2
85,Boyne River and Tarong,4,4,0,4,4,4,4,4,4,4,1
86,Bundaberg,3,5,5,5,0,3,3,3,3,5,2
87,Eton,4,4,0,0,0,0,3,0,3,4,0
88,Mareeba Dimbulah,3,0,0,3,0,0,0,0,3,3,2
89,Bundaberg,5,0,0,4,0,3,0,0,4,4,0
90,Boyne River and Tarong,4,0,0,4,4,4,3,4,4,4,1
91,Boyne River and Tarong,4,4,4,4,3,0,3,3,3,3,1
92,Bundaberg,4,0,0,5,0,0,5,5,5,5,0
93,Nogoa Mackenzie,4,4,0,4,4,3,4,3,4,4,1
94,Three Moon Creek,4,0,4,3,0,3,3,0,3,3,2
95,Callide Valley,3,4,4,4,0,4,4,4,4,4,1
96,Mareeba Dimbulah,4,4,4,4,0,0,4,4,4,4,1
97,Bundaberg,4,4,4,4,4,0,4,4,0,4,1
98,Dawson Valley,3,4,3,3,3,3,4,3,3,3,2
99,Dawson Valley,4,5,5,5,5,4,5,5,5,5,3
100,Mareeba Dimbulah,3,1,4,4,0,4,4,0,3,3,1
101,Eton,2,3,0,5,3,3,4,2,3,3,2
102,Mareeba Dimbulah,4,0,0,4,0,0,4,0,4,2,0
103,Lower Fitzroy,5,4,4,4,4,4,4,4,4,4,1
104,Bundaberg,5,5,4,5,5,5,5,5,5,5,3
105,Bundaberg,2,3,3,3,3,2,4,3,2,3,2
106,Boyne River and Tarong,5,0,0,4,0,0,4,0,4,5,0
107,Burdekin Haughton,4,4,4,4,4,4,4,4,4,4,1
108,Bundaberg,4,0,0,4,0,0,4,4,4,4,0
109,Boyne River and Tarong,4,0,0,4,0,0,2,2,4,3,0
110,Lower Mary River,5,4,4,4,4,4,4,4,5,5,1
111,Burdekin Haughton,3,4,4,4,4,4,4,4,4,4,1
112,Mareeba Dimbulah,3,3,0,4,3,3,0,3,4,4,2
113,Eton,3,0,0,3,3,2,4,0,3,3,0
114,Burdekin Haughton,4,4,4,4,4,4,4,4,4,4,1
115,Bundaberg,5,5,5,5,5,5,5,5,5,5,3
116,Burdekin Haughton,3,3,0,3,0,3,3,3,3,3,2
117,Bundaberg,2,2,3,3,3,3,4,3,4,3,2
118,Boyne River and Tarong,4,0,0,4,0,0,4,0,4,3,0
119,Bundaberg,3,0,0,4,0,0,4,4,4,4,0
120,Bundaberg,4,0,4,4,0,0,4,0,4,4,0
121,Lower Mary River,4,4,4,4,4,4,4,4,4,4,1
122,Upper Condamine,3,5,5,4,0,4,0,0,4,5,0
123,Burdekin Haughton,1,5,3,3,0,1,4,2,3,4,2
124,Proserpine River,4,3,3,3,0,3,3,2,4,4,2
125,Upper Burnett,3,4,4,4,4,4,4,4,4,3,1
126,Macintyre Brook,4,3,0,4,0,4,4,3,3,3,0
127,Upper Condamine,3,5,4,5,0,4,4,4,5,4,1
128,Burdekin Haughton,5,5,0,5,5,5,5,5,5,5,3
129,Dawson Valley,4,4,4,4,4,4,4,4,4,4,1
130,Macintyre Brook,4,3,4,4,3,4,4,3,4,4,1
131,Upper Burnett,4,4,4,4,4,0,4,0,4,4,1
132,Proserpine River,4,5,5,4,0,4,4,4,4,3,1
133,Burdekin Haughton,4,3,4,4,0,4,4,4,4,4,1
134,Pioneer River,3,3,3,3,3,3,3,3,4,4,2
135,Lower Mary River,3,0,0,3,0,1,3,2,2,3,2
136,Bundaberg,5,4,0,5,4,0,5,0,0,3,0
137,Callide Valley,5,3,0,3,0,0,4,0,3,2,0
138,Macintyre Brook,3,3,3,3,0,0,0,0,0,3,2
139,Bundaberg,3,4,0,4,3,3,4,4,4,4,0
140,Mareeba Dimbulah,5,4,0,4,0,4,4,3,4,4,1
141,Chinchilla Weir,3,0,0,0,0,0,0,0,0,3,0
142,Nogoa Mackenzie,3,3,3,3,3,2,4,3,4,3,2
143,Bundaberg,3,4,4,4,0,3,5,5,4,4,0
144,Macintyre Brook,1,1,1,1,1,1,1,1,1,1,0
145,Proserpine River,4,4,0,4,0,5,5,0,5,5,0
146,Bundaberg,3,0,0,0,0,0,3,3,0,4,0
147,Eton,2,3,0,5,0,2,5,3,3,3,2
148,Three Moon Creek,4,0,4,4,4,4,4,0,3,3,1
149,Burdekin Haughton,1,0,0,5,0,4,5,0,0,5,0
150,Mareeba Dimbulah,4,0,0,4,0,0,5,0,5,5,0
151,Burdekin Haughton,3,4,4,4,3,3,4,3,4,3,1
152,Dawson Valley,4,3,4,4,4,5,4,4,4,4,1
153,Dawson Valley,4,4,4,4,4,4,4,4,4,4,1
154,St George,5,5,4,5,0,5,5,5,5,5,3
155,Burdekin Haughton,2,1,0,5,0,1,4,1,1,1,0
156,Mareeba Dimbulah,4,0,0,4,0,0,0,0,0,4,0
157,Burdekin Haughton,3,3,3,4,3,2,3,3,3,3,2
158,Nogoa Mackenzie,4,4,3,4,4,4,4,3,5,5,1
159,Eton,3,3,2,3,3,3,4,4,3,3,2
160,Nogoa Mackenzie,5,5,5,5,4,0,5,0,5,5,3
161,Callide Valley,4,0,0,4,0,0,2,3,3,3,0
162,Burdekin Haughton,4,4,4,4,3,4,4,3,4,4,1
163,Bowen Broken Rivers,5,4,4,4,4,4,4,0,4,4,1
164,Bundaberg,4,0,4,4,0,4,4,4,4,4,0
165,Mareeba Dimbulah,5,4,0,4,0,4,4,4,4,4,1
166,Mareeba Dimbulah,4,4,5,5,0,5,5,5,5,4,3
167,Mareeba Dimbulah,3,3,2,2,2,3,4,3,3,2,2
168,Bundaberg,3,0,4,4,0,0,2,0,3,3,0
169,Bundaberg,3,0,5,5,0,3,5,5,5,5,3
170,Mareeba Dimbulah,4,0,0,3,0,3,3,3,3,3,2
171,Bundaberg,5,0,0,5,0,0,0,0,3,3,0
172,Mareeba Dimbulah,4,0,0,5,0,0,0,0,5,5,0
173,Mareeba Dimbulah,3,4,0,4,0,4,4,4,4,4,1
174,Callide Valley,4,0,3,4,0,3,3,3,3,4,2
175,Boyne River and Tarong,4,3,3,4,3,3,3,0,3,3,2
176,Bundaberg,2,3,4,4,0,2,4,4,4,3,0
177,Mareeba Dimbulah,3,3,2,4,3,2,2,2,4,3,2
178,Upper Burnett,4,3,3,3,3,3,3,3,3,3,2
179,Mareeba Dimbulah,4,3,3,3,3,3,3,3,3,3,2
180,Lower Mary River,4,4,5,4,0,4,3,3,4,3,1
181,Border Rivers,4,0,4,3,3,0,3,3,3,4,0
182,Bundaberg,3,0,3,4,0,3,4,4,4,3,0
183,Upper Condamine,4,4,3,3,3,3,3,3,3,4,2
184,Mareeba Dimbulah,1,1,1,1,0,1,1,1,1,1,2
185,Mareeba Dimbulah,5,5,5,5,5,5,5,5,5,5,3
186,Mareeba Dimbulah,3,4,4,4,0,3,4,2,2,3,1
187,Burdekin Haughton,4,5,5,5,5,5,5,5,5,5,3
188,Bundaberg,4,4,0,4,3,0,3,0,4,4,0
189,Lower Mary River,5,5,0,5,0,4,5,5,5,5,3
190,Barker Barambah,3,5,5,4,4,3,4,3,3,3,2
191,Burdekin Haughton,3,4,0,4,1,2,3,1,2,3,2
192,Callide Valley,5,0,0,0,4,4,4,4,4,5,1
193,Bundaberg,4,0,0,5,0,0,4,4,4,4,0
194,Bundaberg,4,4,4,4,0,0,4,0,4,4,0
195,Bundaberg,5,5,5,5,0,5,0,0,5,5,3
196,Bundaberg,4,3,3,4,0,4,5,0,5,4,0
197,Bundaberg,5,3,4,4,4,3,4,4,3,3,1
198,Cunnamulla,4,0,0,4,0,0,4,0,3,3,0
199,Upper Burnett,4,0,0,3,0,0,3,0,3,3,0
200,Chinchilla Weir,4,4,4,4,4,4,4,4,4,4,1
201,Bundaberg,4,3,0,3,0,0,0,0,0,4,0
202,Mareeba Dimbulah,3,1,0,4,0,0,3,0,4,4,0
203,Bundaberg,3,4,3,3,3,3,4,4,4,4,1
204,Upper Burnett,4,0,4,4,0,3,0,0,3,4,0
205,Mareeba Dimbulah,5,4,4,4,4,3,5,4,4,4,1
206,Border Rivers,1,1,1,1,1,1,1,1,1,1,0
207,Mareeba Dimbulah,4,3,5,5,3,3,5,4,5,5,3
208,Nogoa Mackenzie,4,5,4,4,4,4,4,4,4,4,1
209,Upper Burnett,3,0,0,3,0,0,0,0,0,3,0
210,Burdekin Haughton,3,3,3,4,0,3,3,3,2,3,2
211,Mareeba Dimbulah,4,5,5,5,5,5,5,5,5,5,3
212,Mareeba Dimbulah,4,0,0,4,4,0,0,0,4,4,0
213,Bundaberg,4,4,5,4,0,4,4,4,4,4,1
214,Bundaberg,4,3,3,4,0,3,5,4,4,4,0
215,Proserpine River,4,0,5,4,0,0,0,4,5,4,0
216,St George,3,0,0,0,0,3,4,3,3,3,2
217,Mareeba Dimbulah,1,5,4,5,4,5,5,4,5,5,3
218,Eton,4,4,0,4,0,4,4,4,4,3,1
219,Macintyre Brook,5,4,0,4,0,4,4,4,4,4,1
220,Upper Burnett,3,0,4,3,0,0,3,0,0,1,0
221,Barker Barambah,3,4,0,4,4,0,3,4,4,4,1
222,Lower Mary River,4,0,0,4,0,3,5,4,4,4,0
223,Nogoa Mackenzie,5,0,0,5,0,0,5,0,5,5,0
224,Bundaberg,4,0,4,4,3,3,4,0,4,4,0
225,Mareeba Dimbulah,4,3,0,4,0,3,4,3,4,4,0
226,Mareeba Dimbulah,4,5,5,5,5,5,5,5,5,5,3
227,Bowen Broken Rivers,4,0,0,4,4,0,4,4,4,4,0
228,Boyne River and Tarong,5,5,0,5,0,5,5,5,5,4,3
229,Eton,4,4,0,3,0,0,2,3,3,4,0
230,Boyne River and Tarong,5,0,0,4,0,0,4,4,5,5,0
231,Bundaberg,4,4,5,5,0,0,5,4,3,4,0
232,Mareeba Dimbulah,4,0,0,4,0,0,4,0,5,4,0
233,Nogoa Mackenzie,4,5,5,5,5,5,5,5,5,4,3
234,Mareeba Dimbulah,4,0,0,4,0,0,4,0,4,1,0
235,Callide Valley,2,3,3,3,0,1,3,0,1,1,2
236,Dawson Valley,2,3,3,2,3,1,2,1,1,2,2
237,Burdekin Haughton,3,4,0,4,0,3,4,2,4,4,0
238,Bundaberg,4,0,4,4,0,3,4,4,4,4,0
239,Mareeba Dimbulah,1,4,0,4,0,1,1,0,1,1,0
240,Mareeba Dimbulah,2,0,0,3,0,0,0,0,3,3,0
241,Mareeba Dimbulah,4,0,0,4,0,3,5,3,5,4,0
242,Mareeba Dimbulah,2,0,0,3,0,0,0,0,0,3,0
243,Boyne River and Tarong,5,0,0,5,5,5,0,0,5,5,3
244,Burdekin Haughton,3,3,0,1,0,3,3,4,4,3,2
245,Bundaberg,4,5,5,5,5,5,5,4,5,5,3
246,Chinchilla Weir,4,4,4,4,4,4,4,3,4,4,1
247,Lower Mary River,5,0,4,4,5,4,4,4,4,4,1
248,Mareeba Dimbulah,4,5,5,5,5,5,5,5,5,5,3
249,Mareeba Dimbulah,4,0,0,4,0,4,4,4,4,4,0
250,Burdekin Haughton,2,4,0,4,3,2,4,1,3,3,0
251,Mareeba Dimbulah,4,0,4,3,0,0,4,4,4,4,0
252,Bundaberg,5,0,5,5,0,4,5,5,5,5,3
253,Cunnamulla,3,4,4,4,4,4,4,4,3,3,1
254,Boyne River and Tarong,5,0,0,4,0,0,4,0,4,5,0
255,Boyne River and Tarong,3,3,3,4,4,4,5,4,5,4,1
256,Border Rivers,3,4,0,3,3,3,4,4,3,4,1
257,Bundaberg,5,0,4,5,4,4,4,4,4,5,1
258,Three Moon Creek,4,3,4,3,3,3,4,4,5,4,1
259,Bundaberg,3,0,4,4,3,3,4,3,4,4,0
260,Mareeba Dimbulah,4,4,4,4,4,4,4,4,4,4,1
261,Border Rivers,4,4,4,4,4,4,4,4,4,4,1
262,Nogoa Mackenzie,4,0,0,4,4,0,4,0,4,4,0
263,Three Moon Creek,3,0,4,3,0,2,4,0,4,3,0
264,St George,3,3,3,4,0,3,3,3,3,3,2
265,Bundaberg,2,4,4,4,4,3,4,4,3,3,1
266,Bundaberg,5,5,5,5,0,0,5,5,5,5,3
267,Upper Burnett,4,0,0,3,0,3,0,3,4,3,0
268,Callide Valley,4,0,0,0,0,0,0,4,4,4,0
269,Bundaberg,4,3,3,3,3,3,4,4,4,4,0
270,Nogoa Mackenzie,3,0,0,3,4,0,4,0,3,3,0
271,Mareeba Dimbulah,4,0,0,4,0,0,4,0,4,4,0
272,Nogoa Mackenzie,4,0,0,4,0,4,5,0,0,4,0
273,Dawson Valley,4,0,0,4,0,4,0,0,4,4,0
274,Mareeba Dimbulah,3,0,3,4,0,0,0,3,3,3,2
275,Mareeba Dimbulah,5,0,4,4,4,3,3,3,3,4,1
276,Burdekin Haughton,3,2,4,5,0,3,3,3,3,3,2
277,Bundaberg,4,0,0,4,0,4,5,5,5,4,0
278,Nogoa Mackenzie,3,0,4,4,0,0,0,0,2,4,0
279,St George,5,5,5,5,5,0,5,5,5,5,3
280,Mareeba Dimbulah,5,4,5,5,4,4,5,4,4,5,1
281,Burdekin Haughton,4,0,0,4,0,0,0,0,4,3,0
282,Bundaberg,4,3,3,3,3,3,3,3,4,4,2
283,Bundaberg,4,4,3,4,3,3,3,3,4,3,2
284,Three Moon Creek,4,0,0,4,4,3,0,4,4,4,0
285,Burdekin Haughton,5,5,5,5,0,4,0,0,5,5,3
286,Barker Barambah,4,4,4,4,3,4,3,3,4,4,1
287,Burdekin Haughton,4,5,5,5,5,5,5,5,5,4,3
288,Macintyre Brook,4,5,5,4,4,4,4,4,4,4,1
289,Upper Condamine,4,4,4,4,4,4,4,4,4,4,1
290,Mareeba Dimbulah,4,4,4,4,0,4,4,0,4,4,1
291,Bundaberg,4,0,4,4,0,4,4,4,4,4,0
292,Bundaberg,4,0,4,4,0,3,5,4,4,5,0
293,Boyne River and Tarong,4,0,0,5,0,5,0,0,5,4,0
294,Mareeba Dimbulah,4,0,0,4,0,0,4,4,4,3,0
295,Cunnamulla,4,0,0,4,0,4,4,0,4,4,0
296,Lower Mary River,5,4,4,4,4,4,4,4,4,4,1
297,Eton,4,0,0,4,3,4,0,0,4,4,0
298,Proserpine River,3,3,3,3,3,3,3,3,3,3,2
299,Bundaberg,4,4,4,3,0,4,4,3,4,4,1
300,Border Rivers,4,5,4,4,0,4,4,4,5,4,1
301,St George,3,4,2,4,3,4,4,3,5,3,1
302,Lower Mary River,5,4,0,4,0,4,4,0,4,4,0
303,Burdekin Haughton,3,3,3,3,3,3,3,3,3,3,2
304,Mareeba Dimbulah,3,4,3,4,3,3,4,3,3,3,2
305,Burdekin Haughton,4,4,4,4,4,4,4,4,4,3,1
306,Upper Condamine,5,4,0,4,0,5,5,4,5,4,0
307,Mareeba Dimbulah,1,3,0,2,0,1,0,1,1,3,2
308,Bundaberg,3,0,0,4,0,0,3,0,3,3,0
309,Mareeba Dimbulah,4,4,4,4,4,4,4,4,4,4,1
310,Bundaberg,4,0,0,4,0,4,4,4,4,4,0
311,Upper Burnett,3,0,3,3,0,0,3,3,3,3,2
312,Mareeba Dimbulah,3,2,3,3,0,2,2,3,3,3,2
313,Proserpine River,4,4,4,4,4,4,4,4,4,4,1
314,Callide Valley,1,0,0,4,0,1,4,1,1,1,0
315,Chinchilla Weir,4,4,4,4,4,3,4,4,4,4,1
316,Mareeba Dimbulah,4,0,0,4,0,0,3,0,4,2,0
317,Nogoa Mackenzie,4,4,5,5,0,0,5,0,4,3,0
318,Mareeba Dimbulah,5,4,5,5,5,5,4,4,5,5,3
319,Lower Mary River,5,0,0,5,0,0,4,0,0,4,0
320,Burdekin Haughton,3,3,3,4,2,3,3,3,4,3,2
321,Mareeba Dimbulah,4,4,4,4,0,4,0,0,4,4,1
322,Mareeba Dimbulah,3,5,0,4,0,4,5,4,5,4,1
323,Burdekin Haughton,3,4,4,3,4,4,4,0,4,3,1
324,Barker Barambah,5,5,0,5,0,4,5,4,4,5,3
325,Bundaberg,5,0,0,5,0,5,5,0,5,4,0
326,Macintyre Brook,4,4,1,4,0,1,1,2,4,3,0
327,Upper Condamine,5,5,0,5,0,5,5,0,5,5,3
328,Lower Mary River,5,0,0,5,0,0,5,0,5,5,0
329,Upper Burnett,3,0,3,0,0,0,3,0,0,3,2
330,Nogoa Mackenzie,4,0,4,3,0,4,4,4,4,4,1
331,Mareeba Dimbulah,3,3,3,3,2,2,2,3,3,3,2
332,Mareeba Dimbulah,5,5,5,5,0,5,5,5,5,5,3
333,Bundaberg,4,4,4,4,0,4,4,0,4,3,0
334,Mareeba Dimbulah,4,4,4,5,4,4,4,4,4,4,1
335,Nogoa Mackenzie,5,0,5,5,5,5,5,0,5,5,3
336,Bundaberg,3,0,4,4,0,3,4,4,4,3,0
337,Burdekin Haughton,3,3,3,2,0,2,3,2,3,3,2
338,Bundaberg,4,4,4,4,4,4,4,4,4,4,1
339,Nogoa Mackenzie,3,3,3,3,3,2,3,3,3,3,2
340,Bundaberg,4,4,5,4,0,4,4,4,5,4,1
341,Burdekin Haughton,4,5,0,4,0,4,4,4,5,5,0
342,Dawson Valley,4,0,0,4,0,0,4,0,0,4,0
343,Mareeba Dimbulah,4,3,4,4,3,4,4,4,4,4,1
344,Dawson Valley,3,4,0,2,0,4,4,0,4,3,0
345,Eton,5,5,5,5,5,5,5,5,5,5,3
346,Bundaberg,3,0,0,4,0,4,3,3,4,4,0
347,Burdekin Haughton,3,4,3,4,3,3,4,4,4,4,1
348,Callide Valley,3,0,0,2,0,2,2,2,2,2,0
349,Bundaberg,4,0,3,3,0,2,0,3,4,4,0
350,Mareeba Dimbulah,4,4,4,4,4,4,3,4,4,4,1
351,Bundaberg,5,5,4,4,4,4,5,5,5,5,3
352,Barker Barambah,3,3,0,3,3,3,1,1,2,3,2
353,Burdekin Haughton,4,0,0,0,0,3,0,0,5,4,0
354,Boyne River and Tarong,4,4,4,4,4,4,4,4,5,4,1
355,Burdekin Haughton,4,0,0,3,0,0,0,0,3,3,0
356,Boyne River and Tarong,4,0,0,5,0,0,5,0,4,5,0
357,Mareeba Dimbulah,3,1,0,5,0,5,2,0,0,2,0
358,Burdekin Haughton,2,0,0,2,0,0,1,5,1,2,0
359,Mareeba Dimbulah,4,0,0,5,0,0,5,0,5,5,0
360,Eton,3,4,4,5,3,2,4,4,4,3,1
361,Pioneer River,3,5,3,3,0,4,5,5,5,5,3
362,Bundaberg,4,0,0,4,0,0,0,4,4,4,0
363,Bundaberg,5,4,0,5,0,5,5,5,5,4,3
364,Nogoa Mackenzie,5,0,0,5,0,5,5,5,5,5,3
365,Lower Mary River,4,0,0,4,4,4,4,4,4,4,1
366,Lower Mary River,5,0,0,5,0,0,5,0,5,5,0
367,Lower Mary River,4,4,0,3,0,0,3,3,3,4,0
368,Eton,2,0,0,3,0,1,0,1,2,1,0
369,Burdekin Haughton,4,5,0,5,0,4,4,4,4,4,0
370,Callide Valley,4,0,0,0,0,0,0,0,0,4,0
371,Mareeba Dimbulah,3,0,0,4,0,0,3,3,3,3,2
372,Burdekin Haughton,4,0,3,1,3,3,4,3,3,4,0
373,Mareeba Dimbulah,3,4,4,3,3,3,3,3,3,3,2
374,Mareeba Dimbulah,3,0,5,0,0,0,3,2,3,2,2
375,Upper Burnett,4,0,5,4,0,0,5,0,0,4,0
376,Mareeba Dimbulah,4,4,4,4,0,4,4,4,4,4,1
377,Mareeba Dimbulah,4,4,4,4,3,3,4,0,4,4,1
378,Lower Fitzroy,4,0,0,4,0,0,4,0,3,2,0
379,Bundaberg,3,0,4,4,0,3,5,3,3,3,2
380,Upper Condamine,3,4,3,3,0,0,3,3,3,3,2
381,Nogoa Mackenzie,4,0,0,2,4,0,4,0,4,4,0
382,Macintyre Brook,3,3,3,3,3,3,2,0,3,3,2
383,Burdekin Haughton,2,1,1,1,0,0,4,1,3,3,0
384,Mareeba Dimbulah,5,0,0,5,0,5,5,5,5,5,3
385,Callide Valley,3,3,3,4,3,3,3,3,3,3,2
386,Barker Barambah,4,0,0,0,0,0,0,0,4,4,0
387,Mareeba Dimbulah,4,4,4,4,0,3,4,4,4,4,1
388,Mareeba Dimbulah,5,0,0,5,0,0,4,0,5,4,0
389,Bundaberg,4,0,3,3,3,3,5,0,4,4,0
390,Barker Barambah,3,5,5,5,0,1,5,4,5,5,3
391,St George,1,3,3,3,2,1,2,1,1,1,2
